Tarih,Gunluk_Kp_Toplami,F10_Gunes_Akisi
2021-01-01,43.0,80.4
2021-01-02,7.0,81.5
2021-01-03,10.0,80.4
2021-01-04,27.0,77.6
2021-01-05,157.0,75.1
2021-01-06,180.0,74.1
2021-01-07,90.0,74.6
2021-01-08,20.0,75.2
2021-01-09,27.0,74.2
2021-01-10,47.0,73.1
2021-01-11,180.0,73.2
2021-01-12,150.0,72.8
2021-01-13,60.0,73.2
2021-01-14,13.0,73.6
2021-01-15,40.0,73.4
2021-01-16,57.0,77.7
2021-01-17,23.0,77.2
2021-01-18,60.0,75.3
2021-01-19,103.0,78.1
2021-01-20,107.0,77.2
2021-01-21,20.0,77.6
2021-01-22,40.0,78.2
2021-01-23,67.0,77.9
2021-01-24,100.0,77.6
2021-01-25,220.0,77.1
2021-01-26,183.0,75.7
2021-01-27,183.0,76.3
2021-01-28,47.0,75.6
2021-01-29,40.0,75.5
2021-01-30,20.0,73.7
2021-01-31,13.0,73.4
2021-02-01,100.0,73.0
2021-02-02,227.0,72.3
2021-02-03,197.0,73.3
2021-02-04,133.0,73.3
2021-02-05,103.0,73.1
2021-02-06,110.0,73.0
2021-02-07,240.0,72.8
2021-02-08,110.0,73.3
2021-02-09,67.0,72.9
2021-02-10,37.0,72.9
2021-02-11,30.0,72.4
2021-02-12,90.0,73.5
2021-02-13,197.0,71.3
2021-02-14,73.0,71.4
2021-02-15,80.0,69.6
2021-02-16,190.0,70.7
2021-02-17,147.0,71.6
2021-02-18,77.0,72.2
2021-02-19,217.0,71.6
2021-02-20,280.0,73.3
2021-02-21,267.0,72.5
2021-02-22,253.0,74.8
2021-02-23,200.0,75.8
2021-02-24,263.0,79.2
2021-02-25,217.0,78.7
2021-02-26,180.0,79.6
2021-02-27,73.0,77.9
2021-02-28,97.0,77.2
2021-03-01,270.0,74.1
2021-03-02,250.0,75.6
2021-03-03,257.0,75.7
2021-03-04,160.0,75.4
2021-03-05,100.0,75.1
2021-03-06,227.0,75.6
2021-03-07,143.0,77.5
2021-03-08,87.0,79.9
2021-03-09,47.0,76.5
2021-03-10,23.0,76.3
2021-03-11,57.0,75.6
2021-03-12,203.0,75.6
2021-03-13,240.0,75.9
2021-03-14,287.0,75.1
2021-03-15,133.0,73.9
2021-03-16,40.0,73.7
2021-03-17,83.0,72.8
2021-03-18,90.0,73.2
2021-03-19,103.0,73.1
2021-03-20,300.0,74.7
2021-03-21,270.0,75.2
2021-03-22,137.0,76.6
2021-03-23,187.0,76.9
2021-03-24,170.0,75.8
2021-03-25,217.0,75.2
2021-03-26,177.0,75.1
2021-03-27,93.0,75.1
2021-03-28,87.0,73.9
2021-03-29,53.0,73.4
2021-03-30,57.0,74.6
2021-03-31,170.0,72.5
2021-04-01,137.0,77.9
2021-04-02,97.0,71.4
2021-04-03,70.0,72.2
2021-04-04,47.0,72.0
2021-04-05,73.0,71.7
2021-04-06,30.0,71.2
2021-04-07,227.0,70.5
2021-04-08,70.0,70.3
2021-04-09,47.0,70.5
2021-04-10,73.0,70.5
2021-04-11,117.0,71.9
2021-04-12,87.0,74.2
2021-04-13,97.0,73.2
2021-04-14,110.0,73.9
2021-04-15,183.0,75.5
2021-04-16,250.0,74.6
2021-04-17,320.0,75.3
2021-04-18,253.0,75.8
2021-04-19,257.0,80.4
2021-04-20,210.0,82.9
2021-04-21,123.0,76.9
2021-04-22,90.0,77.8
2021-04-23,203.0,75.3
2021-04-24,153.0,76.8
2021-04-25,240.0,77.7
2021-04-26,170.0,78.2
2021-04-27,110.0,78.4
2021-04-28,33.0,76.8
2021-04-29,83.0,76.9
2021-04-30,93.0,72.9
2021-05-01,93.0,71.6
2021-05-02,157.0,72.0
2021-05-03,97.0,71.6
2021-05-04,63.0,70.6
2021-05-05,20.0,69.5
2021-05-06,53.0,70.8
2021-05-07,43.0,74.5
2021-05-08,50.0,75.9
2021-05-09,47.0,76.2
2021-05-10,130.0,76.5
2021-05-11,43.0,76.1
2021-05-12,290.0,74.7
2021-05-13,130.0,74.7
2021-05-14,63.0,70.9
2021-05-15,127.0,73.3
2021-05-16,70.0,73.2
2021-05-17,110.0,74.8
2021-05-18,150.0,76.4
2021-05-19,97.0,75.9
2021-05-20,280.0,72.3
2021-05-21,113.0,73.7
2021-05-22,87.0,75.6
2021-05-23,60.0,79.0
2021-05-24,33.0,72.7
2021-05-25,43.0,83.5
2021-05-26,170.0,88.0
2021-05-27,217.0,83.3
2021-05-28,27.0,77.4
2021-05-29,103.0,76.0
2021-05-30,97.0,74.4
2021-05-31,33.0,81.7
2021-06-01,13.0,75.2
2021-06-02,83.0,76.3
2021-06-03,107.0,75.5
2021-06-04,80.0,77.1
2021-06-05,67.0,74.4
2021-06-06,67.0,77.4
2021-06-07,190.0,80.8
2021-06-08,93.0,79.9
2021-06-09,53.0,78.6
2021-06-10,80.0,73.3
2021-06-11,163.0,77.3
2021-06-12,170.0,77.6
2021-06-13,83.0,68.9
2021-06-14,67.0,76.8
2021-06-15,220.0,75.5
2021-06-16,217.0,80.3
2021-06-17,110.0,85.0
2021-06-18,130.0,77.0
2021-06-19,60.0,77.1
2021-06-20,67.0,76.4
2021-06-21,60.0,79.1
2021-06-22,113.0,80.8
2021-06-23,60.0,79.7
2021-06-24,83.0,80.6
2021-06-25,107.0,83.4
2021-06-26,57.0,82.4
2021-06-27,53.0,87.0
2021-06-28,50.0,88.6
2021-06-29,90.0,92.5
2021-06-30,200.0,94.1
2021-07-01,93.0,94.1
2021-07-02,90.0,94.9
2021-07-03,67.0,93.7
2021-07-04,43.0,91.1
2021-07-05,143.0,89.4
2021-07-06,130.0,83.2
2021-07-07,100.0,76.0
2021-07-08,70.0,73.4
2021-07-09,80.0,73.8
2021-07-10,110.0,74.0
2021-07-11,57.0,73.6
2021-07-12,123.0,71.6
2021-07-13,80.0,72.0
2021-07-14,190.0,72.1
2021-07-15,173.0,73.5
2021-07-16,67.0,75.0
2021-07-17,63.0,77.4
2021-07-18,67.0,80.4
2021-07-19,140.0,82.6
2021-07-20,180.0,87.0
2021-07-21,113.0,93.5
2021-07-22,143.0,89.0
2021-07-23,47.0,87.4
2021-07-24,53.0,83.9
2021-07-25,37.0,81.6
2021-07-26,57.0,80.8
2021-07-27,80.0,79.6
2021-07-28,210.0,78.8
2021-07-29,153.0,75.8
2021-07-30,123.0,75.5
2021-07-31,117.0,75.9
2021-08-01,60.0,74.9
2021-08-02,187.0,74.6
2021-08-03,157.0,75.9
2021-08-04,83.0,70.8
2021-08-05,23.0,74.3
2021-08-06,130.0,74.4
2021-08-07,190.0,73.7
2021-08-08,80.0,73.5
2021-08-09,70.0,73.0
2021-08-10,127.0,73.3
2021-08-11,97.0,73.8
2021-08-12,67.0,73.6
2021-08-13,97.0,72.9
2021-08-14,57.0,72.6
2021-08-15,163.0,74.6
2021-08-16,140.0,74.4
2021-08-17,93.0,73.1
2021-08-18,110.0,75.3
2021-08-19,70.0,74.9
2021-08-20,113.0,77.7
2021-08-21,60.0,77.1
2021-08-22,37.0,77.1
2021-08-23,30.0,78.1
2021-08-24,77.0,80.9
2021-08-25,143.0,83.6
2021-08-26,100.0,88.6
2021-08-27,260.0,89.5
2021-08-28,193.0,89.9
2021-08-29,137.0,88.7
2021-08-30,133.0,90.6
2021-08-31,117.0,84.4
2021-09-01,90.0,84.2
2021-09-02,63.0,85.8
2021-09-03,137.0,83.8
2021-09-04,90.0,86.5
2021-09-05,117.0,93.3
2021-09-06,117.0,99.5
2021-09-07,143.0,101.2
2021-09-08,213.0,100.4
2021-09-09,83.0,99.7
2021-09-10,137.0,96.3
2021-09-11,120.0,91.8
2021-09-12,113.0,87.7
2021-09-13,153.0,83.3
2021-09-14,110.0,78.1
2021-09-15,103.0,75.2
2021-09-16,53.0,73.2
2021-09-17,260.0,73.4
2021-09-18,143.0,73.7
2021-09-19,27.0,75.0
2021-09-20,47.0,80.0
2021-09-21,117.0,84.9
2021-09-22,183.0,88.5
2021-09-23,157.0,89.7
2021-09-24,133.0,88.4
2021-09-25,123.0,88.4
2021-09-26,17.0,86.3
2021-09-27,127.0,85.3
2021-09-28,177.0,88.9
2021-09-29,83.0,101.6
2021-09-30,120.0,94.6
2021-10-01,197.0,90.5
2021-10-02,110.0,87.0
2021-10-03,107.0,86.0
2021-10-04,83.0,83.5
2021-10-05,80.0,81.7
2021-10-06,157.0,84.8
2021-10-07,50.0,85.7
2021-10-08,60.0,92.4
2021-10-09,80.0,81.0
2021-10-10,163.0,84.5
2021-10-11,223.0,88.5
2021-10-12,377.0,83.5
2021-10-13,83.0,83.5
2021-10-14,140.0,84.0
2021-10-15,87.0,81.7
2021-10-16,97.0,80.4
2021-10-17,167.0,77.6
2021-10-18,167.0,76.8
2021-10-19,193.0,78.8
2021-10-20,110.0,77.9
2021-10-21,110.0,82.4
2021-10-22,53.0,85.7
2021-10-23,43.0,90.1
2021-10-24,67.0,93.8
2021-10-25,80.0,101.8
2021-10-26,83.0,110.8
2021-10-27,33.0,112.2
2021-10-28,17.0,112.7
2021-10-29,23.0,108.0
2021-10-30,153.0,110.4
2021-10-31,213.0,101.7
2021-11-01,150.0,97.6
2021-11-02,247.0,96.0
2021-11-03,177.0,92.4
2021-11-04,397.0,92.4
2021-11-05,187.0,91.2
2021-11-06,247.0,87.0
2021-11-07,67.0,89.9
2021-11-08,80.0,90.8
2021-11-09,117.0,91.4
2021-11-10,113.0,96.9
2021-11-11,67.0,84.2
2021-11-12,43.0,84.1
2021-11-13,20.0,83.6
2021-11-14,47.0,79.1
2021-11-15,113.0,80.9
2021-11-16,203.0,80.8
2021-11-17,203.0,80.4
2021-11-18,93.0,78.9
2021-11-19,90.0,78.9
2021-11-20,173.0,81.6
2021-11-21,213.0,79.8
2021-11-22,150.0,79.5
2021-11-23,170.0,80.9
2021-11-24,83.0,86.6
2021-11-25,83.0,84.9
2021-11-26,40.0,93.6
2021-11-27,60.0,92.4
2021-11-28,157.0,93.5
2021-11-29,127.0,92.4
2021-11-30,100.0,90.0
2021-12-01,257.0,86.4
2021-12-02,173.0,86.6
2021-12-03,143.0,85.3
2021-12-04,127.0,88.1
2021-12-05,140.0,82.7
2021-12-06,133.0,80.0
2021-12-07,67.0,78.9
2021-12-08,70.0,76.9
2021-12-09,23.0,76.7
2021-12-10,47.0,75.7
2021-12-11,70.0,76.2
2021-12-12,50.0,79.9
