Uydu_Adi,Uydu_Hiz_km_s,Senaryo,Senaryo_Adi,Risk_Olasılığı_%,Risk_Sınıfı,Yukseklik_Fark_km,COP_Kutle_kg,COP_Kesit_Alani_m2,Timestamp
TURKSAT 3A,3.075647587331707,1,SENARYO 1: KRITIK DURUM - ÇÖP YAKINDA VE ALÇAKTA,76.03,RİSK ⚠️,-8.5,2000,15,2026-03-29 09:41:58.851611
TURKSAT 3A,3.075647587331707,2,SENARYO 2: ORTA RİSK - ÇÖP ALT TARAFINDA,76.03,RİSK ⚠️,12.5,1000,10,2026-03-29 09:41:58.866014
TURKSAT 3A,3.075647587331707,3,SENARYO 3: DÜŞÜK RİSK - ÇÖP UZAKTA,20.42,GÜVENLI ✓,45.0,500,5,2026-03-29 09:41:58.891134
RASAT,7.526280768821582,1,SENARYO 1: KRITIK DURUM - ÇÖP YAKINDA VE ALÇAKTA,61.4,RİSK ⚠️,-8.5,2000,15,2026-03-29 09:41:58.912217
RASAT,7.526280768821582,2,SENARYO 2: ORTA RİSK - ÇÖP ALT TARAFINDA,61.4,RİSK ⚠️,12.5,1000,10,2026-03-29 09:41:58.928491
RASAT,7.526280768821582,3,SENARYO 3: DÜŞÜK RİSK - ÇÖP UZAKTA,27.56,GÜVENLI ✓,45.0,500,5,2026-03-29 09:41:58.938645
GOKTURK 2,7.533589417571554,1,SENARYO 1: KRITIK DURUM - ÇÖP YAKINDA VE ALÇAKTA,61.4,RİSK ⚠️,-8.5,2000,15,2026-03-29 09:41:58.945317
GOKTURK 2,7.533589417571554,2,SENARYO 2: ORTA RİSK - ÇÖP ALT TARAFINDA,61.4,RİSK ⚠️,12.5,1000,10,2026-03-29 09:41:58.959901
GOKTURK 2,7.533589417571554,3,SENARYO 3: DÜŞÜK RİSK - ÇÖP UZAKTA,27.56,GÜVENLI ✓,45.0,500,5,2026-03-29 09:41:58.969635
TURKSAT 4A,3.0752088687618278,1,SENARYO 1: KRITIK DURUM - ÇÖP YAKINDA VE ALÇAKTA,76.03,RİSK ⚠️,-8.5,2000,15,2026-03-29 09:41:58.981169
TURKSAT 4A,3.0752088687618278,2,SENARYO 2: ORTA RİSK - ÇÖP ALT TARAFINDA,76.03,RİSK ⚠️,12.5,1000,10,2026-03-29 09:41:58.992089
TURKSAT 4A,3.0752088687618278,3,SENARYO 3: DÜŞÜK RİSK - ÇÖP UZAKTA,20.42,GÜVENLI ✓,45.0,500,5,2026-03-29 09:41:59.001942
TURKSAT 4B,3.0752245469244976,1,SENARYO 1: KRITIK DURUM - ÇÖP YAKINDA VE ALÇAKTA,76.03,RİSK ⚠️,-8.5,2000,15,2026-03-29 09:41:59.016578
TURKSAT 4B,3.0752245469244976,2,SENARYO 2: ORTA RİSK - ÇÖP ALT TARAFINDA,76.03,RİSK ⚠️,12.5,1000,10,2026-03-29 09:41:59.027006
TURKSAT 4B,3.0752245469244976,3,SENARYO 3: DÜŞÜK RİSK - ÇÖP UZAKTA,20.42,GÜVENLI ✓,45.0,500,5,2026-03-29 09:41:59.037689
